id,nome,gruppo,centratura,strutturazione,raggruppamento,logica,focus,esito,tempi,tecnologia,carico_docente,fase_tipica,aggancio_classico
MET-14,Tinkering,attive,S,B,PG,Esp,Ope/Cre,Prod,micro/medio,supporto,M,esercitazione,"Ricostruire un meccanismo antico (groma, astrolabio) in interdisciplina"
MET-15,Service Learning,attive,S,B,PG/Cla,Esp/PBL,Soc/Comp,Prod/Comp,lungo,supporto,A,multi-lezione,"Latino/greco per la citta'; epigrafia per il territorio"
MET-16,Didattica per scenari,attive,S,B,PG,PBL/Esp,Cre/Cog,Prod,medio/lungo,costitutiva,A,multi-lezione,"Sei un grammatico alessandrino: cura l'edizione di questo frammento"
MET-17,Flipped Classroom,personalizzazione,DS,M,Mix,Col/Esp,Cog,Ab/Comp,micro/medio,costitutiva,A,apertura|sviluppo,"A casa il quadro d'autore; in classe l'analisi guidata del testo"
MET-18,Mastery Learning,personalizzazione,D,A,Ind/Cla,Tra,Cog,Con/Ab,medio,supporto,M,esercitazione|verifica,"Morfologia a mattoni con verifiche di padronanza; recupero mirato"
MET-19,Individualizzazione/Differenziazione,personalizzazione,DS,A,Ind/Mix,varie,Cog,Ab,micro/medio,supporto,A,esercitazione,"Versioni graduate per livello; consegne a complessita' variabile"
MET-20,Scaffolding,personalizzazione,DS,M,Ind/PG,varie,Cog/Met,Ab,micro,no,M,esercitazione,"Griglie e impalcature per traduzione e scrittura, da ritirare (fading)"
MET-21,Micro/Spaced learning,personalizzazione,D,A,Ind/Cla,Tra,Cog,Con,micro,supporto,B,chiusura,"Ripasso a pillole di paradigmi e lessico; segmentare una lezione densa"
MET-22,MLTV / Thinking Routines,pensiero-visibile,S,M,Mix,Rifl,Met/Cog,Comp,micro/medio,supporto,M,chiusura|sviluppo,"See-Think-Wonder davanti a un testo o a un'immagine d'arte antica"
MET-23,Pensiero laterale / Brainstorming,pensiero-visibile,S,B,PG/Cla,Ind,Cre,Con,micro,no,B,apertura,"Generare interpretazioni alternative di un passo prima di vagliarle"
MET-24,Writing and Reading Workshop,espressivo-testuali,S,M,Mix,Esp/Rifl,Lin/Cre,Ab/Prod,medio/lungo,supporto,M,esercitazione,"Laboratorio stabile di scrittura per le tipologie d'Esame; taccuino del lettore"
MET-25,TwLetteratura,espressivo-testuali,S,M,Mix,Col/Cre,Lin/Cre,Prod,medio,costitutiva,M,esercitazione,"Riscrittura per nuclei di un classico; parafrasi creative e variazioni"
MET-26,Storytelling / Digital Storytelling,espressivo-testuali,S,M,PG,Cre/Esp,Cre/Lin,Prod,medio,costitutiva,M,esercitazione,"Biografia d'autore o mito come prodotto multimediale"
MET-27,Didattica teatrale,espressivo-testuali,S,M,Cla/PG,Esp/Cre,Cre/Soc,Prod,lungo,supporto,A,multi-lezione,"Messa in scena di tragedia/commedia antica; processo a un personaggio"
MET-28,CLIL,espressivo-testuali,DS,M,Cla/PG,varie,Lin/Cog,Comp,medio,supporto,A,sviluppo,"Modulo di storia dell'arte o di civilta' in inglese; ponti sul lessico"
MET-29,TEAL,tecnologie,S,M,PG,Col/Esp,Cog/Ope,Comp,micro/medio,costitutiva,A,sviluppo|esercitazione,"Ricerca e sintesi condivisa in rete su un tema letterario"
MET-30,Gamification,tecnologie,DS,M,Mix,varie,Cog/Soc,Ab,micro/medio,supporto,M,esercitazione|verifica,"Sfide a punti per il consolidamento di paradigmi e lessico"
MET-31,Blended learning,tecnologie,DS,M,Mix,varie,Cog,Ab,medio/lungo,costitutiva,M,multi-lezione,"Presenza + distanza per i percorsi di recupero e approfondimento"
MET-32,Backward Design (UbD) [cornice],cornice,-,-,-,-,-,-,-,-,-,intera,"Cornice di progettazione a ritroso: prima i traguardi e la prova, poi le attivita'"
MET-33,Modello SAMR [cornice],cornice,-,-,-,-,-,-,-,costitutiva,-,intera,"Scala d'uso del digitale: Sostituzione/Aumento/Modifica/Ridefinizione"
